Week 1,Time,Field,Matchup,,Ref
9/8/2016,6:30,1,Unstoppaballs,Victorious Secret,"Pitch, Please"
,,2,Kick This,Send Kick Picks,Team Pod
,,3,Sons O Pitches,Boot by the Foot,Uncontrollable Runs
,7:30,1,Balls and Dolls,Team Pod,Sons O Pitches
,,2,Uncontrollable Runs,The Roshamboers,Victorious Secret
,,3,Fresh Prince of Ball Air,"Pitch, Please",Unstoppaballs
,,,,,
Week 2,Time,Field,Matchup,,Ref
9/15/2016,6:30,1,Kick This,Fresh Prince of Ball Air,Team Pod
,,2,Sons O Pitches,Unstoppaballs,Send Kick Picks
,,3,Boot by the Foot,The Roshamboers,Balls and Dolls
,7:30,1,Balls and Dolls,Victorious Secret,Kick This
,,2,Team Pod,Send Kick Picks,Fresh Prince of Ball Air
,,3,Uncontrollable Runs,"Pitch, Please",Boot by the Foot
,,,,,
Week 3,Time,Field,Matchup,,Ref
9/22/2016,6:30,1,Uncontrollable Runs,Sons O Pitches,The Roshamboers
,,2,Balls and Dolls,Fresh Prince of Ball Air,Send Kick Picks
,,3,Victorious Secret,Team Pod,"Pitch, Please"
,7:30,1,Kick This,"Pitch, Please",Victorious Secret
,,2,The Roshamboers,Unstoppaballs,Uncontrollable Runs
,,3,Boot by the Foot,Send Kick Picks,Balls and Dolls
,,,,,
Week 4,Time,Field,Matchup,,Ref
9/29/2016,6:30,1,Victorious Secret,"Pitch, Please",Unstoppaballs
,,2,The Roshamboers,Team Pod,Kick This
,,3,Uncontrollable Runs,Send Kick Picks,Balls and Dolls
,7:30,1,Fresh Prince of Ball Air,Unstoppaballs,Uncontrollable Runs
,,2,Kick This,Boot by the Foot,Send Kick Picks
,,3,Balls and Dolls,Sons O Pitches,The Roshamboers
,,,,,
Week 5,Time,Field,Matchup,,Ref
10/6/2016,6:30,1,The Roshamboers,Victorious Secret,Sons O Pitches
,,2,"Pitch, Please",Team Pod,Unstoppaballs
,,3,Fresh Prince of Ball Air,Boot by the Foot,Kick This
,7:30,1,Uncontrollable Runs,Balls and Dolls,The Roshamboers
,,2,Send Kick Picks,Unstoppaballs,Team Pod
,,3,Kick This,Sons O Pitches,Boot by the Foot
,,,,,
Week 6,Time,Field,Matchup,,Ref
10/13/2016,6:30,1,Send Kick Picks,Sons O Pitches,Fresh Prince of Ball Air
,,2,Boot by the Foot,"Pitch, Please",Victorious Secret
,,3,Balls and Dolls,The Roshamboers,Uncontrollable Runs
,7:30,1,Team Pod,Unstoppaballs,Send Kick Picks
,,2,Kick This,Uncontrollable Runs,"Pitch, Please"
,,3,Fresh Prince of Ball Air,Victorious Secret,Sons O Pitches
,,,,,
Week 7,Time,Field,Matchup,,Ref
10/20/2016,6:30,1,Balls and Dolls,Send Kick Picks,Sons O Pitches
,,2,Uncontrollable Runs,Team Pod,Fresh Prince of Ball Air
,,3,Kick This,Unstoppaballs,Boot by the Foot
,7:30,1,Victorious Secret,Boot by the Foot,Kick This
,,2,Sons O Pitches,Fresh Prince of Ball Air,Unstoppaballs
,,3,The Roshamboers,"Pitch, Please",Team Pod
,,,,,
Week 8,Time,Field,Matchup,,Ref
10/27/2016,6:30,1,Fresh Prince of Ball Air,Uncontrollable Runs,Victorious Secret
,,2,Unstoppaballs,"Pitch, Please",The Roshamboers
,,3,Kick This,Balls and Dolls,Boot by the Foot
,7:30,1,Victorious Secret,Sons O Pitches,"Pitch, Please"
,,2,The Roshamboers,Send Kick Picks,Balls and Dolls
,,3,Boot by the Foot,Team Pod,Fresh Prince of Ball Air
,,,,,
Week 9,Time,Field,Matchup,,Ref
11/3/2016,6:30,1,Unstoppaballs,Boot by the Foot,Balls and Dolls
,,2,Sons O Pitches,The Roshamboers,Uncontrollable Runs
,,3,Team Pod,Kick This,Send Kick Picks
,7:30,1,Send Kick Picks,Fresh Prince of Ball Air,Team Pod
,,2,Uncontrollable Runs,Victorious Secret,The Roshamboers
,,3,"Pitch, Please",Balls and Dolls,Boot by the Foot